                             mean          std        2.5q         25q         50q          75q      97.5q       mc err
a_subj(SL.PD-On).4       0.880043    0.0511197    0.785199    0.844605    0.877946     0.913537   0.985488  0.000334113
a_subj(SL.PD-On).5       0.959968    0.0586373    0.850722    0.919422     0.95759     0.998679    1.07979  0.000359934
a_subj(SL.PD-On).6       0.852021    0.0545866     0.74751    0.814713    0.850791     0.887976   0.962257  0.000443004
a_subj(SL.PD-On).7       0.907621    0.0453581    0.822374    0.876406    0.906206     0.937296    1.00076  0.000245596
a_subj(SL.PD-On).8       0.919538    0.0561781     0.81402    0.880677    0.917805     0.956417    1.03352  0.000410503
a_subj(SL.PD-On).9        1.02088    0.0654892    0.897856     0.97575     1.01901       1.0642    1.15385   0.00045717
a_subj(SL.PD-On).10       1.01417    0.0529304    0.914576    0.977474     1.01265       1.0491    1.12148  0.000313372
a_subj(SL.PD-On).11      0.704877    0.0368818    0.636364     0.67929    0.703697      0.72882    0.78015  0.000244813
a_subj(SL.PD-On).12       1.05576    0.0536913    0.954999     1.01889     1.05448      1.09118    1.16444  0.000279125
a_subj(SL.PD-On).13       0.95515    0.0539217    0.855705    0.917701    0.952836     0.990487     1.0675  0.000350871
a_subj(SL.PD-On).14      0.867675    0.0567295    0.762124    0.828588    0.865318     0.905029   0.984308  0.000415453
a_subj(SL.PD-On).15      0.909288     0.059675    0.797472    0.868041    0.907077     0.948504    1.03117  0.000410669
v(LH.Control)          -0.0181591    0.0680046   -0.152882  -0.0665395  -0.0174626    0.0358208   0.103464   0.00459291
v(LH.PD-Off)           0.00890562    0.0590335   -0.109806  -0.0323218   0.0127341    0.0493135   0.119192   0.00394155
v(LH.PD-On)             -0.147697    0.0572501   -0.265685   -0.188751   -0.143516    -0.107385 -0.0419864   0.00362784
v(LL.Control)           -0.011437    0.0685421   -0.137219  -0.0641821  -0.0097565    0.0351745   0.120724   0.00472481
v(LL.PD-Off)           -0.0113806    0.0659457    -0.12267  -0.0603356  -0.0123284    0.0331408   0.124126   0.00450964
v(LL.PD-On)            -0.0308272    0.0593019   -0.150069   -0.069113  -0.0269248   0.00655692  0.0824663   0.00377936
v(SH.Control)          -0.0211558    0.0718699   -0.164558  -0.0701677  -0.0207795    0.0316153   0.120889   0.00509356
v(SH.PD-Off)            0.0329194    0.0581625  -0.0863312 -0.00353335   0.0313262    0.0756657   0.140492   0.00376228
v(SH.PD-On)             -0.100255    0.0611135   -0.211815   -0.144235   -0.100792   -0.0595193  0.0201734   0.00420615
v(SL.Control)           -0.065532     0.082112   -0.230948   -0.120603  -0.0582476   -0.0099861  0.0939933   0.00617458
v(SL.PD-Off)          -0.00586577    0.0629389   -0.123721  -0.0491313  -0.0076748    0.0365355   0.126546   0.00432473
v(SL.PD-On)            -0.0844507    0.0675557   -0.206637   -0.135365  -0.0846009   -0.0347177  0.0334231   0.00475199
v_std                   0.0237714    0.0172924  0.00116614   0.0095885   0.0207506    0.0340289   0.065012   0.00138395
v_subj(LH.Control).0   -0.0181975    0.0734319   -0.161316  -0.0701954  -0.0177262    0.0396541   0.117721   0.00459372
v_subj(LH.Control).1   -0.0167872    0.0732408   -0.158785  -0.0688871  -0.0163952     0.040801   0.121329   0.00459185
v_subj(LH.Control).2   -0.0200066    0.0731175   -0.163689  -0.0720393  -0.0190701    0.0378919   0.113881   0.00458364
v_subj(LH.Control).3   -0.0176115    0.0731309   -0.160247  -0.0697711  -0.0166859    0.0403431   0.117973   0.00459041
v_subj(LH.Control).4   -0.0175304    0.0736236   -0.161258  -0.0696493  -0.0168835    0.0400307   0.119652    0.0045919
v_subj(LH.Control).5   -0.0198251    0.0732611   -0.162511  -0.0720685  -0.0186813    0.0379102   0.114601   0.00458725
v_subj(LH.Control).6   -0.0185493    0.0730233    -0.16142  -0.0704072   -0.017807    0.0386502   0.116443    0.0045794
v_subj(LH.Control).7   -0.0181706    0.0735887   -0.161748  -0.0706664  -0.0174866     0.040207   0.117555   0.00459197
v_subj(LH.Control).8    -0.018059    0.0729444   -0.160441  -0.0701159  -0.0172385    0.0393685   0.117263   0.00457182
v_subj(LH.Control).10  -0.0178003    0.0731438   -0.159909  -0.0701018  -0.0172278    0.0397963   0.118405   0.00457205
v_subj(LH.Control).11  -0.0178897    0.0730869   -0.160469   -0.069827  -0.0174454    0.0396632   0.117526    0.0045796
v_subj(LH.Control).12  -0.0184394    0.0725134    -0.16046  -0.0702928   -0.017802    0.0391416   0.115869   0.00456476
v_subj(LH.Control).13  -0.0179587    0.0731837   -0.160808  -0.0699826  -0.0172407    0.0395914   0.116731   0.00456745
v_subj(LH.Control).14   -0.017023    0.0731127   -0.159219  -0.0694162  -0.0163979    0.0402071   0.118974    0.0045636
v_subj(LH.Control).15  -0.0178195    0.0727393   -0.159138  -0.0700274  -0.0169612    0.0396802   0.115999   0.00458158
v_subj(LH.PD-Off).0    0.00758177    0.0650492   -0.122093  -0.0373777   0.0120343    0.0510449   0.128699   0.00395509
v_subj(LH.PD-Off).1     0.0101709    0.0646265   -0.118052  -0.0348157    0.014057    0.0521849   0.131537   0.00392585
v_subj(LH.PD-Off).2    0.00991729    0.0646955   -0.118983  -0.0355271   0.0143894    0.0520531   0.130212   0.00391794
v_subj(LH.PD-Off).3    0.00825145    0.0644432   -0.119196   -0.036643   0.0128232    0.0512949   0.127922   0.00395022
v_subj(LH.PD-Off).4    0.00750388    0.0648253   -0.122492  -0.0374897   0.0122334    0.0508289   0.127168   0.00394238
v_subj(LH.PD-Off).5    0.00975906    0.0647538   -0.119051  -0.0355738   0.0142069    0.0519084   0.130348   0.00393637
v_subj(LH.PD-Off).6     0.0103261      0.06545   -0.119124  -0.0352092   0.0146094    0.0522433   0.133934   0.00395556
v_subj(LH.PD-Off).7     0.0114899    0.0652581   -0.118298  -0.0339678   0.0151841    0.0532058   0.135311   0.00393395
v_subj(LH.PD-Off).8    0.00926482    0.0649866   -0.117706  -0.0366518   0.0130207    0.0518712   0.131204   0.00392635
v_subj(LH.PD-Off).9    0.00978228    0.0650569   -0.118343  -0.0354743   0.0141237    0.0520203   0.131518   0.00391904
v_subj(LH.PD-Off).10   0.00624812     0.064467   -0.122651  -0.0382931   0.0109899     0.050193   0.124944   0.00395048
v_subj(LH.PD-Off).11   0.00722916     0.064934   -0.122693  -0.0375805   0.0118004     0.050841   0.127392   0.00393476
