                              mean          std       2.5q        25q          50q         75q       97.5q       mc err
v_subj(SH.PD-On).13     -0.0820534    0.0609807  -0.198825  -0.122345   -0.0824705  -0.0432767   0.0442396   0.00324102
v_subj(SH.PD-On).14     -0.0830147    0.0611113  -0.201301  -0.123477   -0.0834881  -0.0437557   0.0439447   0.00323192
v_subj(SH.PD-On).15     -0.0821491    0.0606256  -0.199153  -0.122368   -0.0821409  -0.0435059   0.0435447   0.00323374
v_subj(SL.Control).0    -0.0729478    0.0848023  -0.230178  -0.134613   -0.0688954    -0.01168   0.0771488   0.00615918
v_subj(SL.Control).1    -0.0729694    0.0850502  -0.229663  -0.135509   -0.0688591  -0.0112766   0.0779993   0.00616866
v_subj(SL.Control).2    -0.0734849    0.0846286  -0.230334  -0.134512   -0.0689415   -0.012802   0.0766134   0.00614892
v_subj(SL.Control).3    -0.0737617    0.0845007  -0.230144  -0.135152   -0.0692004  -0.0122126   0.0760594   0.00615405
v_subj(SL.Control).4    -0.0732602     0.085233  -0.231178   -0.13553   -0.0690848  -0.0115856   0.0791167   0.00618757
v_subj(SL.Control).5    -0.0727789    0.0851187  -0.230126   -0.13483    -0.068408  -0.0113467   0.0788765   0.00615758
v_subj(SL.Control).6    -0.0725146    0.0850633  -0.230357  -0.134673     -0.06878  -0.0108145   0.0783636   0.00617098
v_subj(SL.Control).7    -0.0731481    0.0848378  -0.230717  -0.134934     -0.06908  -0.0113123    0.077064   0.00615251
v_subj(SL.Control).8    -0.0732616    0.0847447  -0.230069  -0.135371   -0.0687663  -0.0117423   0.0772312    0.0061605
v_subj(SL.Control).10   -0.0723642    0.0846127  -0.229625   -0.13363   -0.0680807  -0.0110261   0.0769694   0.00614886
v_subj(SL.Control).11   -0.0752935    0.0851024  -0.232847  -0.137319   -0.0716468  -0.0129036    0.074321   0.00617466
v_subj(SL.Control).12   -0.0718257    0.0848655  -0.228937  -0.132941   -0.0677204  -0.0105535   0.0793923   0.00616285
v_subj(SL.Control).13   -0.0722558    0.0853395   -0.23026  -0.134483   -0.0674909  -0.0109826    0.080111   0.00615628
v_subj(SL.Control).14   -0.0738314     0.084815  -0.230912  -0.135487   -0.0693011  -0.0120824    0.074818   0.00616678
v_subj(SL.Control).15    -0.074413    0.0849178  -0.232338  -0.136122   -0.0699118    -0.01262   0.0752472   0.00615221
v_subj(SL.PD-Off).0     -0.0120048    0.0690468  -0.165355 -0.0533088   -0.0109363   0.0354816    0.110743   0.00437789
v_subj(SL.PD-Off).1     -0.0125868    0.0693166  -0.166311 -0.0539053   -0.0118088   0.0355576    0.110921   0.00438608
v_subj(SL.PD-Off).2     -0.0126133    0.0689648  -0.164592  -0.054151   -0.0118444   0.0357067    0.110083   0.00435882
v_subj(SL.PD-Off).3      -0.013386    0.0691663  -0.167669 -0.0545831   -0.0120799   0.0345589    0.109746   0.00437311
v_subj(SL.PD-Off).4     -0.0126655    0.0692265  -0.165828 -0.0542392   -0.0117325   0.0354719    0.110897   0.00438121
