                              mean          std        2.5q         25q          50q          75q       97.5q       mc err
v_subj(Control).0       -0.0204278    0.0518921   -0.116089  -0.0549364   -0.0227725    0.0132169   0.0859511    0.0016566
v_subj(Control).1       -0.0242579    0.0526925   -0.124925  -0.0588562   -0.0260628   0.00957802   0.0821189   0.00163726
v_subj(Control).2       -0.0332316    0.0513814   -0.136823  -0.0666186   -0.0328565   0.00032348   0.0634212   0.00166343
v_subj(Control).3       -0.0268628    0.0515451   -0.127621  -0.0605067   -0.0277983   0.00670764   0.0745081   0.00163687
v_subj(Control).4       -0.0304254    0.0533825   -0.137404   -0.064292   -0.0305927   0.00395948   0.0711315    0.0016373
v_subj(Control).5       -0.0307159    0.0529221   -0.137817  -0.0647796   -0.0307927   0.00350752   0.0702548    0.0016617
v_subj(Control).6       -0.0258421    0.0519986   -0.126769  -0.0598913   -0.0270715   0.00750486   0.0773955   0.00163007
v_subj(Control).7       -0.0261932    0.0521305   -0.127152  -0.0598789   -0.0274432   0.00702826   0.0780007   0.00160848
v_subj(Control).8       -0.0236003    0.0516492   -0.121983  -0.0574885   -0.0253752   0.00963377   0.0812352   0.00159949
v_subj(Control).10      -0.0245349    0.0521193   -0.123544  -0.0589674   -0.0259301   0.00891818   0.0804888   0.00163278
v_subj(Control).11      -0.0267788    0.0525171   -0.129469  -0.0608908   -0.0276866   0.00719422   0.0770038   0.00163964
v_subj(Control).12      -0.0235348    0.0514464   -0.120854  -0.0575473   -0.0249489   0.00986096   0.0795507   0.00160013
v_subj(Control).13      -0.0253831    0.0530226   -0.126862     -0.0603    -0.026753    0.0085125   0.0796756   0.00163812
v_subj(Control).14       -0.025488    0.0519446   -0.125162  -0.0594976   -0.0267667   0.00783892   0.0777883   0.00157748
v_subj(Control).15      -0.0260619    0.0515345   -0.125136  -0.0597891   -0.0271644   0.00708762   0.0766818   0.00164227
v_subj(PD-Off).0       -0.00381145    0.0464322   -0.100815  -0.0318257  -0.00322729    0.0247977   0.0883536   0.00126446
v_subj(PD-Off).1        0.00395502    0.0467848  -0.0873661  -0.0256852   0.00245127    0.0317358    0.103066   0.00131265
v_subj(PD-Off).2        0.00546253    0.0470723  -0.0856669  -0.0242127   0.00354811    0.0327671    0.105189   0.00132745
v_subj(PD-Off).3      -0.000519601    0.0459112  -0.0937159  -0.0290394  -0.00101776    0.0269906   0.0944119   0.00124183
v_subj(PD-Off).4        -0.0123267    0.0481721   -0.119122  -0.0387482  -0.00921621    0.0181391   0.0765233   0.00137275
v_subj(PD-Off).5        0.00235413     0.047817  -0.0929276  -0.0274655   0.00130643    0.0308357    0.101828   0.00128837
v_subj(PD-Off).6         0.0017146    0.0476735  -0.0921844  -0.0279662  0.000944009    0.0295449    0.100459   0.00128688
v_subj(PD-Off).7         0.0342678    0.0622939  -0.0596159 -0.00735746    0.0237263    0.0647815     0.18909   0.00220489
v_subj(PD-Off).8        0.00146312    0.0466392  -0.0915477  -0.0280084  0.000688179    0.0291552    0.098253   0.00127825
v_subj(PD-Off).9        0.00170327    0.0480619  -0.0945844  -0.0277939   0.00101836    0.0299685    0.102139    0.0012531
v_subj(PD-Off).10       0.00391225    0.0448124  -0.0838193  -0.0245557   0.00248115    0.0306799   0.0978619   0.00128922
v_subj(PD-Off).11       0.00119287     0.045331   -0.089875  -0.0272178  0.000219566     0.028497   0.0938267   0.00125635
v_subj(PD-Off).12       -0.0173113    0.0494125   -0.129986  -0.0439353   -0.0128771    0.0145877   0.0690574   0.00141172
v_subj(PD-Off).13       0.00280579    0.0470196  -0.0906858   -0.026499   0.00157004    0.0305601   0.0998917   0.00128652
v_subj(PD-Off).14       0.00434869    0.0488083  -0.0909003  -0.0262349   0.00244785    0.0324772    0.106667    0.0013069
v_subj(PD-Off).15       0.00387369    0.0474819  -0.0884757   -0.026052   0.00202515    0.0318414    0.104471   0.00129813
v_subj(PD-On).0         -0.0806586    0.0467608   -0.169917   -0.111356   -0.0817686   -0.0514341   0.0155666   0.00132271
